country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,new_cases,new_deaths,
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/15/2020,0,4,5,0,2,1,0,0,
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/16/2020,1,4,4,1,2,1,1,0,2107
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/17/2020,-1,1,5,1,2,1,0,0,2107
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/18/2020,-2,1,5,0,2,1,0,0,1651
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/19/2020,-2,0,4,-1,2,1,0,0,1651
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/20/2020,-2,1,6,1,1,1,0,0,1651
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/21/2020,-3,2,6,0,-1,1,0,0,2201
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/22/2020,-2,2,4,-2,3,1,4,0,4096
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/23/2020,-1,3,3,-1,4,1,0,0,4096
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/24/2020,-3,0,5,-1,3,1,0,0,4096
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/25/2020,-3,2,3,-2,3,1,0,0,4096
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/26/2020,-2,1,-3,-2,3,1,0,0,4096
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/27/2020,1,5,-1,-1,3,1,0,0,1325
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/28/2020,1,5,-1,-1,1,1,6,0,8606
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2/29/2020,2,7,-1,-1,5,0,2,0,8606
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/1/2020,3,10,2,-1,4,1,0,0,8606
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/2/2020,0,7,1,-2,4,1,0,0,8606
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/3/2020,0,6,0,-5,4,1,6,0,2113
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/4/2020,-1,7,-2,-5,3,2,0,0,12724
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/5/2020,-3,6,-2,-5,3,2,2,0,12724
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/6/2020,-7,5,-8,-9,0,3,0,0,10753
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/7/2020,-3,6,1,-8,4,2,16,0,4480
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/8/2020,1,8,6,-9,-1,3,0,0,4480
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/9/2020,-3,4,4,-10,-1,4,0,0,6949
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/10/2020,-4,6,3,-11,-2,4,29,0,3618
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,3/11/2020,-4,5,0,-12,-2,4,0,0,3618
